RecordTime,CPUÎÂ¶È(¶È),extra,SimpleTime
1666937875218,41.1,null,0.099
1666937875718,39.9,null,0.599
1666937876220,40.3,null,1.101
1666937876720,43.4,null,1.601
1666937877220,42.2,null,2.101
1666937877720,41.1,null,2.601
1666937878220,45.7,null,3.101
1666937878720,45.7,null,3.601
1666937879221,44.9,null,4.102
1666937879721,43.4,null,4.602
1666937880221,43.4,null,5.102
1666937880721,43.8,null,5.602
1666937881221,46.1,null,6.102
1666937881722,45.7,null,6.603
1666937882223,45.3,null,7.104
1666937883223,44.9,null,8.104
1666937884223,43.8,null,9.104
1666937884723,44.2,null,9.604
1666937885223,44.2,null,10.104
1666937885725,42.2,null,10.606
1666937886224,43.4,null,11.105
1666937886725,41.8,null,11.606
1666937887225,42.6,null,12.106
1666937887725,41.8,null,12.606
1666937888227,42.2,null,13.108
1666937889226,42.2,null,14.107
1666937889727,42.6,null,14.608
1666937890227,41.8,null,15.108
1666937890728,40.3,null,15.609
1666937891228,42.6,null,16.109
1666937891728,41.8,null,16.609
1666937892228,41.5,null,17.109
1666937892729,40.3,null,17.61
1666937893229,40.7,null,18.11
1666937893729,41.5,null,18.61
1666937894231,40.3,null,19.112
1666937894731,41.1,null,19.612
1666937895234,41.5,null,20.115
1666937895734,41.5,null,20.615
1666937896235,41.8,null,21.116
1666937896735,42.2,null,21.616
1666937897235,42.2,null,22.116
1666937897736,42.2,null,22.617
1666937898736,40.3,null,23.617
1666937899236,40.7,null,24.117
1666937899737,40.3,null,24.618
1666937900237,40.3,null,25.118
1666937900737,39.9,null,25.618
1666937901237,42.6,null,26.118
1666937901737,41.1,null,26.618
1666937902238,41.1,null,27.119
1666937902738,40.7,null,27.619
1666937903238,41.5,null,28.119
1666937903739,40.3,null,28.62
1666937904239,40.7,null,29.12
1666937904739,41.1,null,29.62
1666937905239,42.2,null,30.12
1666937905739,40.3,null,30.62
1666937906239,42.6,null,31.12
1666937906740,41.1,null,31.621
1666937907240,40.7,null,32.121
1666937907740,40.3,null,32.621
1666937908241,41.1,null,33.122
1666937908742,40.3,null,33.623
1666937909241,40.3,null,34.122
1666937910245,39.5,null,35.126
1666937910746,39.1,null,35.627
1666937911246,42.6,null,36.127
1666937911746,40.7,null,36.627
1666937912246,40.7,null,37.127
1666937912747,40.7,null,37.628
1666937913247,42.2,null,38.128
1666937913747,42.2,null,38.628
1666937914247,42.2,null,39.128
1666937914748,40.3,null,39.629
1666937915248,40.7,null,40.129
1666937915748,41.5,null,40.629
1666937916248,41.5,null,41.129
1666937916748,39.9,null,41.629
1666937917249,40.3,null,42.13
1666937917749,41.1,null,42.63
1666937918250,42.2,null,43.131
1666937918750,40.7,null,43.631
1666937919250,41.5,null,44.131
1666937919750,40.3,null,44.631
1666937920251,40.7,null,45.132
1666937920751,41.1,null,45.632
1666937921251,42.6,null,46.132
1666937921751,41.1,null,46.632
1666937922251,41.1,null,47.132
1666937922752,41.1,null,47.633
1666937923252,42.6,null,48.133
1666937923752,41.5,null,48.633
1666937924252,41.1,null,49.133
1666937924753,43.8,null,49.634
1666937925253,42.2,null,50.134
1666937925753,42.2,null,50.634
1666937926253,44.6,null,51.134
1666937926753,43.0,null,51.634
1666937927254,41.8,null,52.135
1666937927754,42.6,null,52.635
1666937928254,42.6,null,53.135
1666937928754,43.0,null,53.635
1666937929256,43.0,null,54.137
1666937930255,42.2,null,55.136
1666937930755,41.5,null,55.636
1666937931255,42.6,null,56.136
1666937931756,41.5,null,56.637
1666937932256,42.2,null,57.137
1666937932756,42.6,null,57.637
1666937933256,41.8,null,58.137
1666937933757,41.1,null,58.638
1666937934257,41.1,null,59.138
1666937934757,41.1,null,59.638
1666937935257,42.2,null,60.138
1666937935758,42.2,null,60.639
1666937936258,43.4,null,61.139
1666937936758,43.0,null,61.639
1666937937260,41.8,null,62.141
1666937938260,40.7,null,63.141
1666937938760,42.6,null,63.641
1666937939260,41.1,null,64.141
1666937939761,41.8,null,64.642
1666937940261,41.8,null,65.142
1666937940761,41.8,null,65.642
1666937941261,44.2,null,66.142
1666937941763,42.2,null,66.644
1666937942762,40.7,null,67.643
1666937943262,41.5,null,68.143
1666937943763,40.7,null,68.644
1666937944263,41.5,null,69.144
1666937944763,41.1,null,69.644
1666937945263,42.6,null,70.144
1666937945764,42.2,null,70.645
1666937946264,43.0,null,71.145
1666937946764,41.1,null,71.645
1666937947265,40.7,null,72.146
