RecordTime,CPUÎÂ¶È(¶È),extra,SimpleTime
1669277798536,44.6,null,115.06
1669277799037,44.9,null,115.561
1669277799537,46.5,null,116.061
1669277800037,45.3,null,116.561
1669277800541,44.6,null,117.065
1669277801041,44.2,null,117.565
1669277801542,43.8,null,118.066
1669277802042,43.8,null,118.566
1669277802542,44.2,null,119.066
1669277803043,44.2,null,119.567
1669277803543,44.9,null,120.067
1669277804043,44.9,null,120.567
1669277804543,46.5,null,121.067
1669277805044,44.6,null,121.568
1669277805544,43.8,null,122.068
1669277806045,43.8,null,122.569
1669277806545,43.8,null,123.069
1669277807046,44.2,null,123.57
1669277807546,44.2,null,124.07
1669277808046,44.2,null,124.57
1669277808547,44.2,null,125.071
1669277809047,43.8,null,125.571
1669277809550,44.2,null,126.074
1669277810548,43.4,null,127.072
1669277811048,43.8,null,127.572
1669277811548,43.4,null,128.072
1669277812048,43.4,null,128.572
1669277812549,43.8,null,129.073
1669277813049,43.8,null,129.573
1669277813549,43.8,null,130.073
1669277814049,43.8,null,130.573
1669277814550,43.4,null,131.074
1669277815050,43.8,null,131.574
1669277816058,43.4,null,132.582
1669277817057,43.8,null,133.581
1669277817557,44.2,null,134.081
1669277818057,43.4,null,134.581
1669277818557,45.3,null,135.081
1669277819058,45.3,null,135.582
1669277819558,46.5,null,136.082
1669277820058,46.1,null,136.582
1669277820558,45.7,null,137.082
1669277821059,44.2,null,137.583
1669277821561,45.3,null,138.085
1669277822061,44.6,null,138.585
1669277822562,43.8,null,139.086
1669277823062,44.2,null,139.586
1669277823563,45.7,null,140.087
1669277824064,46.5,null,140.588
1669277825065,44.9,null,141.589
1669277825565,45.7,null,142.089
1669277826066,44.6,null,142.59
1669277826566,44.2,null,143.09
1669277827067,42.6,null,143.591
1669277827567,43.0,null,144.091
1669277828072,43.8,null,144.596
1669277828575,44.9,null,145.099
1669277829571,44.2,null,146.095
1669277830071,43.8,null,146.595
1669277830572,44.9,null,147.096
1669277831072,45.3,null,147.596
1669277831573,44.6,null,148.097
1669277832073,43.8,null,148.597
1669277832573,44.2,null,149.097
1669277833075,43.8,null,149.599
1669277834074,47.7,null,150.598
1669277834575,48.0,null,151.099
1669277835075,48.8,null,151.599
1669277835575,46.5,null,152.099
1669277836075,46.1,null,152.599
1669277836576,45.3,null,153.1
1669277837076,45.7,null,153.6
1669277837577,45.3,null,154.101
1669277838578,47.3,null,155.102
