RecordTime,Ö¡ÂÊ(Ö¡),extra,SimpleTime
1669277684441,90.0,sg.partying.android.lite,0.965
1669277685441,90.0,sg.partying.android.lite,1.965
1669277686442,8252.0,sg.partying.android.lite,2.966
1669277687442,90.0,sg.partying.android.lite,3.966
1669277688442,90.0,sg.partying.android.lite,4.966
1669277689443,808.0,sg.partying.android.lite,5.967
1669277690443,89.0,sg.partying.android.lite,6.967
1669277691445,90.0,sg.partying.android.lite,7.969
1669277692449,89.0,sg.partying.android.lite,8.973
1669277693451,90.0,sg.partying.android.lite,9.975
1669277694446,90.0,sg.partying.android.lite,10.97
1669277695446,90.0,sg.partying.android.lite,11.97
1669277696447,90.0,sg.partying.android.lite,12.971
1669277697449,90.0,sg.partying.android.lite,13.973
1669277698449,90.0,sg.partying.android.lite,14.973
1669277699449,90.0,sg.partying.android.lite,15.973
1669277700453,90.0,sg.partying.android.lite,16.977
1669277701455,90.0,sg.partying.android.lite,17.979
1669277702454,806.0,sg.partying.android.lite,18.978
1669277703455,89.0,sg.partying.android.lite,19.979
1669277704455,89.0,sg.partying.android.lite,20.979
1669277705456,90.0,sg.partying.android.lite,21.98
1669277706458,90.0,sg.partying.android.lite,22.982
1669277707460,90.0,sg.partying.android.lite,23.984
1669277708459,808.0,sg.partying.android.lite,24.983
1669277709459,89.0,sg.partying.android.lite,25.983
1669277710460,90.0,sg.partying.android.lite,26.984
1669277711460,90.0,sg.partying.android.lite,27.984
1669277712462,809.0,sg.partying.android.lite,28.986
1669277713461,811.0,sg.partying.android.lite,29.985
1669277714461,808.0,sg.partying.android.lite,30.985
1669277715462,90.0,sg.partying.android.lite,31.986
1669277716463,90.0,sg.partying.android.lite,32.987
1669277717463,89.0,sg.partying.android.lite,33.987
1669277718463,90.0,sg.partying.android.lite,34.987
1669277719473,90.0,sg.partying.android.lite,35.997
1669277720472,90.0,sg.partying.android.lite,36.996
1669277721471,90.0,sg.partying.android.lite,37.995
1669277722471,90.0,sg.partying.android.lite,38.995
1669277723473,810.0,sg.partying.android.lite,39.997
1669277724474,810.0,sg.partying.android.lite,40.998
1669277725478,808.0,sg.partying.android.lite,42.002
1669277726477,89.0,sg.partying.android.lite,43.001
1669277727476,90.0,sg.partying.android.lite,44.0
1669277728477,89.0,sg.partying.android.lite,45.001
1669277729478,90.0,sg.partying.android.lite,46.002
1669277730478,90.0,sg.partying.android.lite,47.002
1669277731479,90.0,sg.partying.android.lite,48.003
1669277732479,90.0,sg.partying.android.lite,49.003
1669277733480,90.0,sg.partying.android.lite,50.004
1669277734481,809.0,sg.partying.android.lite,51.005
1669277735482,89.0,sg.partying.android.lite,52.006
1669277736483,90.0,sg.partying.android.lite,53.007
1669277737483,90.0,sg.partying.android.lite,54.007
1669277738485,90.0,sg.partying.android.lite,55.009
1669277739485,90.0,sg.partying.android.lite,56.009
1669277740485,90.0,sg.partying.android.lite,57.009
1669277741486,90.0,sg.partying.android.lite,58.01
1669277742487,90.0,sg.partying.android.lite,59.011
1669277743487,89.0,sg.partying.android.lite,60.011
1669277744488,90.0,sg.partying.android.lite,61.012
1669277745491,90.0,sg.partying.android.lite,62.015
1669277746488,808.0,sg.partying.android.lite,63.012
1669277747492,90.0,sg.partying.android.lite,64.016
1669277748492,90.0,sg.partying.android.lite,65.016
1669277749490,809.0,sg.partying.android.lite,66.014
1669277750493,90.0,sg.partying.android.lite,67.017
1669277751493,88.0,sg.partying.android.lite,68.017
1669277752494,89.0,sg.partying.android.lite,69.018
1669277753495,90.0,sg.partying.android.lite,70.019
1669277754495,90.0,sg.partying.android.lite,71.019
1669277755495,90.0,sg.partying.android.lite,72.019
1669277756498,90.0,sg.partying.android.lite,73.022
1669277757497,806.0,sg.partying.android.lite,74.021
1669277758497,89.0,sg.partying.android.lite,75.021
1669277759498,90.0,sg.partying.android.lite,76.022
1669277760498,90.0,sg.partying.android.lite,77.022
1669277761498,90.0,sg.partying.android.lite,78.022
1669277762501,90.0,sg.partying.android.lite,79.025
1669277763500,90.0,sg.partying.android.lite,80.024
1669277764501,90.0,sg.partying.android.lite,81.025
1669277765501,90.0,sg.partying.android.lite,82.025
1669277766502,808.0,sg.partying.android.lite,83.026
1669277767503,810.0,sg.partying.android.lite,84.027
1669277768505,90.0,sg.partying.android.lite,85.029
1669277769506,809.0,sg.partying.android.lite,86.03
1669277770508,90.0,sg.partying.android.lite,87.032
1669277771506,809.0,sg.partying.android.lite,88.03
1669277772508,809.0,sg.partying.android.lite,89.032
1669277773514,806.0,sg.partying.android.lite,90.038
1669277774513,806.0,sg.partying.android.lite,91.037
1669277775513,805.0,sg.partying.android.lite,92.037
1669277776514,90.0,sg.partying.android.lite,93.038
1669277777516,90.0,sg.partying.android.lite,94.04
1669277778517,90.0,sg.partying.android.lite,95.041
1669277779518,806.0,sg.partying.android.lite,96.042
1669277780519,90.0,sg.partying.android.lite,97.043
1669277781521,90.0,sg.partying.android.lite,98.045
1669277782523,90.0,sg.partying.android.lite,99.047
1669277783524,90.0,sg.partying.android.lite,100.048
1669277784525,90.0,sg.partying.android.lite,101.049
1669277785524,90.0,sg.partying.android.lite,102.048
1669277786525,90.0,sg.partying.android.lite,103.049
1669277787525,90.0,sg.partying.android.lite,104.049
1669277788527,89.0,sg.partying.android.lite,105.051
1669277789527,89.0,sg.partying.android.lite,106.051
1669277790528,808.0,sg.partying.android.lite,107.052
1669277791528,89.0,sg.partying.android.lite,108.052
1669277792533,90.0,sg.partying.android.lite,109.057
1669277793534,90.0,sg.partying.android.lite,110.058
1669277794534,712.0,sg.partying.android.lite,111.058
1669277795534,89.0,sg.partying.android.lite,112.058
1669277796535,807.0,sg.partying.android.lite,113.059
1669277797536,90.0,sg.partying.android.lite,114.06
1669277798536,90.0,sg.partying.android.lite,115.06
1669277799542,90.0,sg.partying.android.lite,116.066
1669277800541,809.0,sg.partying.android.lite,117.065
1669277801542,90.0,sg.partying.android.lite,118.066
1669277802542,90.0,sg.partying.android.lite,119.066
1669277803543,90.0,sg.partying.android.lite,120.067
1669277804543,90.0,sg.partying.android.lite,121.067
1669277805546,808.0,sg.partying.android.lite,122.07
1669277806545,808.0,sg.partying.android.lite,123.069
1669277807546,90.0,sg.partying.android.lite,124.07
1669277808546,90.0,sg.partying.android.lite,125.07
1669277809550,90.0,sg.partying.android.lite,126.074
1669277810548,90.0,sg.partying.android.lite,127.072
1669277811548,90.0,sg.partying.android.lite,128.072
1669277812548,89.0,sg.partying.android.lite,129.072
1669277813549,90.0,sg.partying.android.lite,130.073
1669277814550,89.0,sg.partying.android.lite,131.074
1669277815554,90.0,sg.partying.android.lite,132.078
1669277816557,88.0,sg.partying.android.lite,133.081
1669277817557,709.0,sg.partying.android.lite,134.081
1669277818558,89.0,sg.partying.android.lite,135.082
1669277819558,90.0,sg.partying.android.lite,136.082
1669277820558,90.0,sg.partying.android.lite,137.082
1669277821561,90.0,sg.partying.android.lite,138.085
1669277822562,89.0,sg.partying.android.lite,139.086
1669277823563,805.0,sg.partying.android.lite,140.087
1669277824564,90.0,sg.partying.android.lite,141.088
1669277825565,90.0,sg.partying.android.lite,142.089
1669277826566,89.0,sg.partying.android.lite,143.09
1669277827569,89.0,sg.partying.android.lite,144.093
1669277828575,90.0,sg.partying.android.lite,145.099
1669277829572,90.0,sg.partying.android.lite,146.096
1669277830572,645.0,sg.partying.android.lite,147.096
1669277831573,644.0,sg.partying.android.lite,148.097
1669277832573,90.0,sg.partying.android.lite,149.097
1669277833576,90.0,sg.partying.android.lite,150.1
1669277834575,90.0,sg.partying.android.lite,151.099
1669277835577,90.0,sg.partying.android.lite,152.101
