RecordTime,应用进程-main-11675(%),extra,SimpleTime
1666937875342,2.2883296,,0.223
1666937875836,3.5353534,,0.717
1666937876334,3.030303,,1.215
1666937876835,1.8087854,,1.716
1666937877327,2.0618556,,2.208
1666937877851,1.9900497,,2.732
1666937878357,7.3113213,,3.238
1666937878766,8.408408,,3.647
1666937879309,5.2884617,,4.19
1666937879839,9.5,,4.72
1666937880328,7.41688,,5.209
1666937880825,15.079366,,5.706
1666937881342,10.39604,,6.223
1666937881817,12.53406,,6.698
1666937882320,13.917525,,7.201
1666937882813,12.532637,,7.694
1666937883377,12.594459,,8.258
1666937883807,12.169312,,8.688
1666937884332,12.230216,,9.213
1666937884811,12.5,,9.692
1666937885338,12.531328,,10.219
1666937885818,12.5,,10.699
1666937886329,10.669975,,11.21
1666937886832,6.9587626,,11.713
1666937887325,6.4935064,,12.206
1666937887833,7.8125,,12.714
1666937888343,6.5162907,,13.224
1666937888828,6.6313,,13.709
1666937889316,6.1497326,,14.197
1666937889834,6.527415,,14.715
1666937890355,6.8010077,,15.236
1666937890841,6.2663183,,15.722
1666937891343,6.5104165,,16.224
1666937891841,6.596306,,16.722
1666937892336,5.804749,,17.217
1666937892830,6.9587626,,17.711
1666937893337,7.4742265,,18.218
1666937893843,6.5616803,,18.724
1666937894341,6.476684,,19.222
1666937894842,6.4935064,,19.723
1666937895341,6.084656,,20.222
1666937895847,6.9587626,,20.728
1666937896347,6.138108,,21.228
1666937896859,6.265664,,21.74
1666937897350,5.978261,,22.231
1666937897841,6.9148936,,22.722
1666937898338,6.8965516,,23.219
1666937898851,7.3490815,,23.732
1666937899333,5.9620595,,24.214
1666937899849,6.9053707,,24.73
1666937900350,6.887755,,25.231
1666937900851,6.666667,,25.732
1666937901335,6.2330623,,26.216
1666937901856,6.2189054,,26.737
1666937902345,6.26703,,27.226
1666937902834,6.169666,,27.715
1666937903347,7.1065993,,28.228
1666937903851,6.2015505,,28.732
1666937904342,6.2663183,,29.223
1666937904845,6.5789475,,29.726
1666937905346,6.1497326,,30.227
1666937905846,7.035176,,30.727
1666937906326,5.929919,,31.207
1666937906852,6.356968,,31.733
1666937907357,7.008086,,32.238
1666937907851,6.185567,,32.732
1666937908335,7.2972975,,33.216
1666937908850,6.169666,,33.731
1666937909344,6.4690022,,34.225
1666937909854,7.228915,,34.735
1666937910350,7.6086955,,35.231
1666937910857,7.901235,,35.738
1666937911349,7.2386055,,36.23
1666937911854,7.4270554,,36.735
1666937912344,7.3107047,,37.225
1666937912863,7.832898,,37.744
1666937913349,7.458564,,38.23
1666937913872,7.49354,,38.753
1666937914348,9.549071,,39.229
1666937914859,10.353536,,39.74
1666937915361,7.614213,,40.242
1666937915858,8.311688,,40.739
1666937916341,7.329843,,41.222
1666937916867,7.6354685,,41.748
1666937917355,7.4270554,,42.236
1666937917921,9.230769,,42.802
1666937918336,8.870968,,43.217
1666937918863,7.25,,43.744
1666937919353,6.666667,,44.234
1666937919858,6.9408736,,44.739
1666937920373,8.157895,,45.254
1666937920847,6.9518714,,45.728
1666937921353,6.0913706,,46.234
1666937921880,7.4468083,,46.761
1666937922370,7.8947363,,47.251
1666937922858,7.4742265,,47.739
1666937923343,14.168938,,48.224
1666937923867,10.473815,,48.748
1666937924362,7.880435,,49.243
1666937924863,12.266666,,49.744
1666937925367,12.8,,50.248
1666937925854,9.333333,,50.735
1666937926337,10.455764,,51.218
1666937926856,9.605911,,51.737
1666937927359,9.2544985,,52.24
1666937927871,10.579346,,52.752
1666937928352,9.72973,,53.233
1666937928865,8.923884,,53.746
1666937929365,7.5520835,,54.246
1666937929871,9.333333,,54.752
1666937930376,14.503818,,55.257
1666937930858,9.863014,,55.739
1666937931355,10.498688,,56.236
1666937931873,11.28609,,56.754
1666937932367,10.15625,,57.248
1666937932853,9.574469,,57.734
1666937933363,9.511568,,58.244
1666937933867,9.6446705,,58.748
1666937934358,11.294765,,59.239
1666937934863,9.560723,,59.744
1666937935374,8.9743595,,60.255
1666937935859,8.042896,,60.74
1666937936368,7.9896903,,61.249
1666937936866,7.853403,,61.747
1666937937368,8.24468,,62.249
1666937937858,8.684211,,62.739
1666937938374,9.066667,,63.255
1666937938843,9.549071,,63.724
1666937939378,9.226933,,64.259
1666937939879,9.066667,,64.76
1666937940378,8.900524,,65.259
1666937940876,8.226221,,65.757
1666937941362,9.893047,,66.243
1666937941882,11.898734,,66.763
1666937942395,11.859838,,67.276
1666937942875,10.846561,,67.756
1666937943368,10.880829,,68.249
1666937943878,8.59375,,68.759
1666937944385,8.59375,,69.266
1666937944867,8.707124,,69.748
1666937945371,9.736842,,70.252
1666937945873,9.6446705,,70.754
1666937946366,8.533333,,71.247
1666937946887,9.768638,,71.768
1666937947379,10.160427,,72.26
1666937947862,9.574469,,72.743
1666937948352,9.315068,,73.233
1666937948885,8.413462,,73.766
1666937949359,8.579089,,74.24
1666937949865,6.2015505,,74.746
1666937950338,4.509284,,75.219
1666937950848,0.0,,75.729
1666937951331,0.0,,76.212
1666937951828,4.0,,76.709
1666937952377,5.450237,,77.258
1666937952896,9.176471,,77.777
1666937953399,9.090909,,78.28
1666937953880,5.867971,,78.761
1666937954368,7.8624077,,79.249
1666937954904,8.219178,,79.785
1666937955378,7.25,,80.259
1666937955868,7.194245,,80.749
1666937956395,7.8624077,,81.276
1666937956878,7.4257426,,81.759
1666937957377,7.0754714,,82.258
1666937957884,7.109005,,82.765
1666937958385,7.4698796,,83.266
1666937958883,7.8947363,,83.764
1666937959375,8.0684595,,84.256
1666937959881,7.3459716,,84.762
1666937960379,7.6732674,,85.26
1666937960887,7.506053,,85.768
1666937961366,6.4516125,,86.247
1666937961883,7.125891,,86.764
1666937962382,7.4698796,,87.263
1666937962889,8.114558,,87.77
1666937963388,8.515816,,88.269
1666937963889,8.2938385,,88.77
1666937964387,7.990315,,89.268
1666937964891,7.913669,,89.772
1666937965394,7.416268,,90.275
1666937965872,7.579462,,90.753
1666937966381,6.845966,,91.262
1666937966876,7.434053,,91.757
1666937967403,7.2093024,,92.284
1666937967893,7.560976,,92.774
1666937968380,8.168317,,93.261
1666937968877,7.3459716,,93.758
1666937969392,7.913669,,94.273
1666937969883,7.8239613,,94.764
1666937970383,8.173077,,95.264
1666937970883,6.6985645,,95.764
1666937971386,7.7114425,,96.267
